alt,temp,press,dens,a,visc
km,K,Pa,kg/m3,m/s,Pa s
0,288.15,101325,1.225,340.294,1.81206E-05
0.1,287.5,100129,1.21328,339.91,1.80881E-05
0.2,286.85,98945.3,1.20165,339.526,1.80556E-05
0.3,286.2,97772.6,1.19011,339.141,0.000018023
0.4,285.55,96611.1,1.17864,338.755,1.79905E-05
0.5,284.9,95460.8,1.16727,338.37,1.79579E-05
0.6,284.25,94321.7,1.15598,337.983,1.79252E-05
0.7,283.6,93193.6,1.14477,337.597,1.78925E-05
0.8,282.95,92076.4,1.13364,337.21,1.78598E-05
0.9,282.3,90970.1,1.1226,336.822,1.78271E-05
1,281.65,89874.6,1.11164,336.434,1.77943E-05
1.1,281,88789.8,1.10077,336.046,1.77615E-05
1.2,280.35,87715.6,1.08997,335.657,1.77286E-05
1.3,279.7,86651.9,1.07925,335.267,1.76957E-05
1.4,279.05,85598.8,1.06862,334.878,1.76628E-05
1.5,278.4,84556,1.05807,334.487,1.76298E-05
1.6,277.75,83523.5,1.04759,334.097,1.75968E-05
1.7,277.1,82501.3,1.0372,333.705,1.75638E-05
1.8,276.45,81489.2,1.02688,333.314,1.75307E-05
1.9,275.8,80487.2,1.01665,332.922,1.74976E-05
2,275.15,79495.2,1.00649,332.529,1.74645E-05
2.1,274.5,78513.1,0.99641,332.136,1.74313E-05
2.2,273.85,77540.9,0.986407,331.743,1.73981E-05
2.3,273.2,76578.4,0.976481,331.349,1.73649E-05
2.4,272.55,75625.7,0.966632,330.954,1.73316E-05
2.5,271.9,74682.5,0.956859,330.56,1.72983E-05
2.6,271.25,73748.9,0.947162,330.164,1.72649E-05
2.7,270.6,72824.8,0.93754,329.768,1.72315E-05
2.8,269.95,71910.1,0.927993,329.372,1.71981E-05
2.9,269.3,71004.7,0.91852,328.975,1.71646E-05
3,268.65,70108.5,0.909122,328.578,1.71311E-05
3.1,268,69221.6,0.899798,328.18,1.70976E-05
3.2,267.35,68343.7,0.890546,327.782,0.000017064
3.3,266.7,67474.9,0.881368,327.383,1.70304E-05
3.4,266.05,66615,0.872262,326.984,1.69967E-05
3.5,265.4,65764.1,0.863229,326.584,0.000016963
3.6,264.75,64921.9,0.854267,326.184,1.69293E-05
3.7,264.1,64088.6,0.845377,325.784,1.68955E-05
3.8,263.45,63263.9,0.836557,325.382,1.68617E-05
3.9,262.8,62447.8,0.827808,324.981,1.68279E-05
4,262.15,6.16E+04,8.19E-01,324.579,0.000016794
4.1,261.5,6.08E+04,8.11E-01,324.176,1.67601E-05
4.2,260.85,6.01E+04,8.02E-01,323.773,1.67261E-05
4.3,260.2,5.93E+04,7.94E-01,323.369,1.66922E-05
4.4,259.55,5.85E+04,7.85E-01,322.965,1.66581E-05
4.5,258.9,5.77E+04,7.77E-01,322.56,1.66241E-05
4.6,258.25,5.70E+04,7.69E-01,322.155,0.00001659
4.7,257.6,5.62E+04,7.60E-01,321.75,1.65558E-05
4.8,256.95,5.55E+04,7.52E-01,321.343,1.65216E-05
4.9,256.3,5.47E+04,7.44E-01,320.937,1.64874E-05
5,255.65,5.40E+04,7.36E-01,320.529,1.64531E-05
5.1,255,5.33E+04,7.28E-01,320.122,1.64188E-05
5.2,254.35,5.26E+04,7.20E-01,319.713,1.63845E-05
5.3,253.7,5.19E+04,7.13E-01,319.305,1.63501E-05
5.4,253.05,5.12E+04,7.05E-01,318.895,1.63157E-05
5.5,252.4,5.05E+04,6.97E-01,318.486,1.62813E-05
5.6,251.75,4.98E+04,6.89E-01,318.075,1.62468E-05
5.7,251.1,4.92E+04,6.82E-01,317.664,1.62122E-05
5.8,250.45,4.85E+04,6.74E-01,317.253,1.61777E-05
5.9,249.8,4.78E+04,6.67E-01,316.841,0.000016143
6,249.15,4.72E+04,6.60E-01,316.428,1.61084E-05
6.1,248.5,4.65E+04,6.52E-01,316.015,1.60737E-05
6.2,247.85,4.59E+04,6.45E-01,315.602,0.000016039
6.3,247.2,4.53E+04,6.38E-01,315.188,1.60042E-05
6.4,246.55,4.47E+04,6.31E-01,314.773,1.59694E-05
6.5,245.9,4.40E+04,6.24E-01,314.358,1.59345E-05
6.6,245.25,4.34E+04,6.17E-01,313.942,1.58996E-05
6.7,244.6,4.28E+04,6.10E-01,313.526,1.58647E-05
6.8,243.95,4.22E+04,6.03E-01,313.109,1.58297E-05
6.9,243.3,4.16E+04,5.96E-01,312.692,1.57947E-05
7,242.65,4.11E+04,5.90E-01,312.274,1.57596E-05
7.1,242,4.05E+04,5.83E-01,311.855,1.57245E-05
7.2,241.35,3.99E+04,5.76E-01,311.436,1.56894E-05
7.3,240.7,39355.8,0.569602,311.016,1.56542E-05
7.4,240.05,38800.4,0.563084,310.596,0.000015619
7.5,239.4,38251.4,0.556624,310.175,1.55837E-05
7.6,238.75,37708.7,0.55022,309.754,1.55484E-05
7.7,238.1,37172.2,0.543873,309.332,1.55131E-05
7.8,237.45,36642,0.537582,308.909,1.54777E-05
7.9,236.8,36117.8,0.531347,308.486,1.54423E-05
8,236.15,35599.8,0.525168,308.063,1.54068E-05
8.1,235.5,35087.8,0.519043,307.638,1.53713E-05
8.2,234.85,34581.8,0.512973,307.214,1.53357E-05
8.3,234.2,34081.7,0.506958,306.788,1.53001E-05
8.4,233.55,33587.5,0.500997,306.362,1.52645E-05
8.5,232.9,33099,0.49509,305.935,1.52288E-05
8.6,232.25,32616.4,0.489236,305.508,1.51931E-05
8.7,231.6,32139.5,0.483435,305.08,1.51573E-05
8.8,230.95,31668.2,0.477687,304.652,1.51215E-05
8.9,230.3,31202.6,0.471992,304.223,1.50857E-05
9,229.65,30742.5,0.466348,303.793,1.50498E-05
9.1,229,30287.9,0.460756,303.363,1.50138E-05
9.2,228.35,29838.7,0.455216,302.932,1.49778E-05
9.3,227.7,29395,0.449727,302.501,1.49418E-05
9.4,227.05,28956.7,0.444289,302.069,1.49058E-05
9.5,226.4,28523.6,0.438901,301.636,1.48696E-05
9.6,225.75,28095.8,0.433563,301.203,1.48335E-05
9.7,225.1,27673.2,0.428275,300.769,1.47973E-05
9.8,224.45,27255.8,0.423036,300.334,0.000014761
9.9,223.8,26843.5,0.417847,299.899,1.47247E-05
10,223.15,26436.3,0.412707,299.463,1.46884E-05
10.1,222.5,26034,0.407615,299.027,0.000014652
10.2,221.85,25636.8,0.402571,298.59,1.46156E-05
10.3,221.2,25244.5,0.397575,298.152,1.45792E-05
10.4,220.55,24857,0.392627,297.714,1.45426E-05
10.5,219.9,24474.4,0.387725,297.275,1.45061E-05
10.6,219.25,24096.5,0.382871,296.835,1.44695E-05
10.7,218.6,23723.4,0.378064,296.395,1.44328E-05
10.8,217.95,23355,0.373303,295.954,1.43962E-05
10.9,217.3,22991.2,0.368588,295.512,1.43594E-05
11,216.65,22632.1,0.363918,295.07,1.43226E-05
11.1,216.65,22278,0.358224,295.07,1.43226E-05
11.2,216.65,21929.4,0.35262,295.07,1.43226E-05
11.3,216.65,21586.3,0.347103,295.07,1.43226E-05
11.4,216.65,21248.6,0.341673,295.07,1.43226E-05
11.5,216.65,20916.2,0.336327,295.07,1.43226E-05
11.6,216.65,20589,0.331065,295.07,1.43226E-05
11.7,216.65,20266.8,0.325886,295.07,1.43226E-05
11.8,216.65,19949.8,0.320787,295.07,1.43226E-05
11.9,216.65,19637.6,0.315768,295.07,1.43226E-05
12,216.65,19330.4,0.310828,295.07,1.43226E-05
12.1,216.65,19028,0.305965,295.07,1.43226E-05
12.2,216.65,18730.3,0.301178,295.07,1.43226E-05
12.3,216.65,18437.2,0.296466,295.07,1.43226E-05
12.4,216.65,18148.8,0.291828,295.07,1.43226E-05
12.5,216.65,17864.8,0.287262,295.07,1.43226E-05
12.6,216.65,17585.4,0.282768,295.07,1.43226E-05
12.7,216.65,17310.2,0.278344,295.07,1.43226E-05
12.8,216.65,17039.4,0.273989,295.07,1.43226E-05
12.9,216.65,16772.8,0.269703,295.07,1.43226E-05
13,216.65,16510.4,0.265483,295.07,1.43226E-05
13.1,216.65,16252.1,0.26133,295.07,1.43226E-05
13.2,216.65,15997.8,0.257241,295.07,1.43226E-05
13.3,216.65,15747.5,0.253217,295.07,1.43226E-05
13.4,216.65,15501.2,0.249255,295.07,1.43226E-05
13.5,216.65,15258.7,0.245355,295.07,1.43226E-05
13.6,216.65,15019.9,0.241517,295.07,1.43226E-05
13.7,216.65,14784.9,0.237738,295.07,1.43226E-05
13.8,216.65,14553.6,0.234019,295.07,1.43226E-05
13.9,216.65,14325.9,0.230357,295.07,1.43226E-05
14,216.65,14101.8,0.226753,295.07,1.43226E-05
14.1,216.65,13881.2,0.223206,295.07,1.43226E-05
14.2,216.65,13664,0.219714,295.07,1.43226E-05
14.3,216.65,13450.2,0.216276,295.07,1.43226E-05
14.4,216.65,13239.8,0.212893,295.07,1.43226E-05
14.5,216.65,13032.7,0.209562,295.07,1.43226E-05
14.6,216.65,12828.8,0.206283,295.07,1.43226E-05
14.7,216.65,12628.1,0.203056,295.07,1.43226E-05
14.8,216.65,12430.5,0.199879,295.07,1.43226E-05
14.9,216.65,12236,0.196752,295.07,1.43226E-05
15,216.65,12044.6,0.193674,295.07,1.43226E-05
15.1,216.65,11856.1,0.190644,295.07,1.43226E-05
15.2,216.65,11670.6,0.187661,295.07,1.43226E-05
15.3,216.65,11488.1,0.184725,295.07,1.43226E-05
15.4,216.65,11308.3,0.181835,295.07,1.43226E-05
15.5,216.65,11131.4,0.17899,295.07,1.43226E-05
15.6,216.65,10957.2,0.17619,295.07,1.43226E-05
15.7,216.65,10785.8,0.173433,295.07,1.43226E-05
15.8,216.65,10617.1,0.17072,295.07,1.43226E-05
15.9,216.65,10451,0.168049,295.07,1.43226E-05
16,216.65,10287.5,0.16542,295.07,1.43226E-05
16.1,216.65,10126.5,0.162832,295.07,1.43226E-05
16.2,216.65,9968.08,0.160284,295.07,1.43226E-05
16.3,216.65,9812.13,0.157777,295.07,1.43226E-05
16.4,216.65,9658.61,0.155308,295.07,1.43226E-05
16.5,216.65,9507.5,0.152878,295.07,1.43226E-05
16.6,216.65,9358.76,0.150487,295.07,1.43226E-05
16.7,216.65,9212.34,0.148132,295.07,1.43226E-05
16.8,216.65,9068.21,0.145815,295.07,1.43226E-05
16.9,216.65,8926.34,0.143533,295.07,1.43226E-05
17,216.65,8786.68,0.141288,295.07,1.43226E-05
17.1,216.65,8649.21,0.139077,295.07,1.43226E-05
17.2,216.65,8513.89,0.136901,295.07,1.43226E-05
17.3,216.65,8380.69,0.134759,295.07,1.43226E-05
17.4,216.65,8249.58,0.132651,295.07,1.43226E-05
17.5,216.65,8120.51,0.130576,295.07,1.43226E-05
17.6,216.65,7993.46,0.128533,295.07,1.43226E-05
17.7,216.65,7868.4,0.126522,295.07,1.43226E-05
17.8,216.65,7745.3,0.124543,295.07,1.43226E-05
17.9,216.65,7624.13,0.122594,295.07,1.43226E-05
18,216.65,7504.84,0.120676,295.07,1.43226E-05
18.1,216.65,7387.43,0.118788,295.07,1.43226E-05
18.2,216.65,7271.85,0.11693,295.07,1.43226E-05
18.3,216.65,7158.08,0.1151,295.07,1.43226E-05
18.4,216.65,7046.09,0.113299,295.07,1.43226E-05
18.5,216.65,6935.86,0.111527,295.07,1.43226E-05
18.6,216.65,6827.34,0.109782,295.07,1.43226E-05
18.7,216.65,6720.53,0.108064,295.07,1.43226E-05
18.8,216.65,6615.39,0.106374,295.07,1.43226E-05
18.9,216.65,6511.89,0.10471,295.07,1.43226E-05
19,216.65,6410.01,0.103071,295.07,1.43226E-05
19.1,216.65,6309.72,0.101459,295.07,1.43226E-05
19.2,216.65,6211,0.0998714,295.07,1.43226E-05
19.3,216.65,6113.83,0.0983089,295.07,1.43226E-05
19.4,216.65,6018.18,0.0967709,295.07,1.43226E-05
19.5,216.65,5924.03,0.0952569,295.07,1.43226E-05
19.6,216.65,5831.34,0.0937666,295.07,1.43226E-05
19.7,216.65,5740.11,0.0922996,295.07,1.43226E-05
19.8,216.65,5650.31,0.0908555,295.07,1.43226E-05
19.9,216.65,5561.91,0.0894341,295.07,1.43226E-05
20,216.65,5474.89,0.0880349,295.07,1.43226E-05
20.1,216.75,5389.25,0.0866179,295.138,1.43283E-05
20.2,216.85,5304.99,0.0852243,295.206,0.000014334
20.3,216.95,5222.09,0.0838538,295.274,1.43396E-05
20.4,217.05,5140.52,0.082506,295.342,1.43453E-05
20.5,217.15,5060.26,0.0811804,295.41,1.43509E-05
20.6,217.25,4981.29,0.0798768,295.478,1.43566E-05
20.7,217.35,4903.59,0.0785946,295.546,1.43622E-05
20.8,217.45,4827.14,0.0773336,295.614,1.43679E-05
20.9,217.55,4751.91,0.0760934,295.682,1.43736E-05
21,217.65,4677.89,0.0748737,295.75,1.43792E-05
21.1,217.75,4605.05,0.073674,295.818,1.43849E-05
21.2,217.85,4533.38,0.0724941,295.886,1.43905E-05
21.3,217.95,4462.86,0.0713336,295.954,1.43962E-05
21.4,218.05,4393.47,0.0701923,296.021,1.44018E-05
21.5,218.15,4325.18,0.0690697,296.089,1.44074E-05
21.6,218.25,4257.99,0.0679655,296.157,1.44131E-05
21.7,218.35,4191.87,0.0668795,296.225,1.44187E-05
21.8,218.45,4126.81,0.0658114,296.293,1.44244E-05
21.9,218.55,4062.79,0.0647607,296.361,0.00001443
22,218.65,3999.79,0.0637273,296.428,1.44357E-05
22.1,218.75,3937.79,0.0627109,296.496,1.44413E-05
22.2,218.85,3876.79,0.0617111,296.564,1.44469E-05
22.3,218.95,3816.75,0.0607278,296.632,1.44526E-05
22.4,219.05,3757.68,0.0597605,296.699,1.44582E-05
22.5,219.15,3699.54,0.0588091,296.767,1.44639E-05
22.6,219.25,3642.33,0.0578732,296.835,1.44695E-05
22.7,219.35,3586.03,0.0569526,296.903,1.44751E-05
22.8,219.45,3530.62,0.0560471,296.97,1.44808E-05
22.9,219.55,3476.09,0.0551564,297.038,1.44864E-05
23,219.65,3422.43,0.0542803,297.105,0.000014492
23.1,219.75,3369.63,0.0534184,297.173,1.44976E-05
23.2,219.85,3317.66,0.0525706,297.241,1.45033E-05
23.3,219.95,3266.51,0.0517367,297.308,1.45089E-05
23.4,220.05,3216.18,0.0509164,297.376,1.45145E-05
23.5,220.15,3166.65,0.0501094,297.443,1.45202E-05
23.6,220.25,3117.9,0.0493155,297.511,1.45258E-05
23.7,220.35,3069.92,0.0485346,297.579,1.45314E-05
23.8,220.45,3022.7,0.0477665,297.646,0.000014537
23.9,220.55,2976.23,0.0470108,297.714,1.45426E-05
24,220.65,2930.49,0.0462674,297.781,1.45483E-05
24.1,220.75,2885.48,0.045536,297.849,1.45539E-05
24.2,220.85,2841.18,0.0448166,297.916,1.45595E-05
24.3,220.95,2797.58,0.0441089,297.983,1.45651E-05
24.4,221.05,2754.66,0.0434126,298.051,1.45707E-05
24.5,221.15,2712.42,0.0427276,298.118,1.45763E-05
24.6,221.25,2670.85,0.0420538,298.186,0.000014582
24.7,221.35,2629.94,0.0413909,298.253,1.45876E-05
24.8,221.45,2589.67,0.0407387,298.32,1.45932E-05
24.9,221.55,2550.03,0.0400971,298.388,1.45988E-05
25,221.65,2511.02,0.0394658,298.455,1.46044E-05
25.1,221.75,2472.63,0.0388448,298.522,0.00001461
25.2,221.85,2434.83,0.0382338,298.59,1.46156E-05
25.3,221.95,2397.63,0.0376327,298.657,1.46212E-05
25.4,222.05,2361.02,0.0370414,298.724,1.46268E-05
25.5,222.15,2324.98,0.0364595,298.791,1.46324E-05
25.6,222.25,2289.51,0.0358871,298.859,0.000014638
25.7,222.35,2254.59,0.0353239,298.926,1.46436E-05
25.8,222.45,2220.22,0.0347698,298.993,1.46492E-05
25.9,222.55,2186.39,0.0342246,299.06,1.46548E-05
26,222.65,2153.09,0.0336882,299.128,1.46604E-05
26.1,222.75,2120.32,0.0331605,299.195,0.000014666
26.2,222.85,2088.05,0.0326413,299.262,1.46716E-05
26.3,222.95,2056.29,0.0321304,299.329,1.46772E-05
26.4,223.05,2025.03,0.0316277,299.396,1.46828E-05
26.5,223.15,1994.26,0.0311331,299.463,1.46884E-05
26.6,223.25,1963.97,0.0306465,299.53,0.000014694
26.7,223.35,1934.15,0.0301677,299.597,1.46996E-05
26.8,223.45,1904.8,0.0296966,299.664,1.47052E-05
26.9,223.55,1875.9,0.029233,299.732,1.47108E-05
27,223.65,1847.46,0.0287769,299.799,1.47164E-05
27.1,223.75,1819.46,0.0283281,299.866,0.000014722
27.2,223.85,1791.89,0.0278865,299.933,1.47275E-05
27.3,223.95,1764.76,0.0274519,300,1.47331E-05
27.4,224.05,1738.05,0.0270244,300.067,1.47387E-05
27.5,224.15,1711.75,0.0266036,300.133,1.47443E-05
27.6,224.25,1685.87,0.0261896,300.2,1.47499E-05
27.7,224.35,1660.39,0.0257823,300.267,1.47555E-05
27.8,224.45,1635.3,0.0253814,300.334,0.000014761
27.9,224.55,1610.6,0.024987,300.401,1.47666E-05
28,224.65,1586.29,0.0245988,300.468,1.47722E-05
28.1,224.75,1562.35,0.0242169,300.535,1.47778E-05
28.2,224.85,1538.79,0.023841,300.602,1.47833E-05
28.3,224.95,1515.59,0.0234712,300.669,1.47889E-05
28.4,225.05,1492.75,0.0231072,300.735,1.47945E-05
28.5,225.15,1470.27,0.022749,300.802,1.48001E-05
28.6,225.25,1448.13,0.0223966,300.869,1.48056E-05
28.7,225.35,1426.34,0.0220498,300.936,1.48112E-05
28.8,225.45,1404.89,0.0217084,301.003,1.48168E-05
28.9,225.55,1383.76,0.0213726,301.069,1.48223E-05
29,225.65,1362.96,0.021042,301.136,1.48279E-05
29.1,225.75,1342.49,0.0207167,301.203,1.48335E-05
29.2,225.85,1322.33,0.0203966,301.269,0.000014839
29.3,225.95,1302.48,0.0200816,301.336,1.48446E-05
29.4,226.05,1282.94,0.0197716,301.403,1.48502E-05
29.5,226.15,1263.7,0.0194664,301.469,1.48557E-05
29.6,226.25,1244.76,0.0191662,301.536,1.48613E-05
29.7,226.35,1226.11,0.0188707,301.603,1.48669E-05
29.8,226.45,1207.75,0.0185798,301.669,1.48724E-05
29.9,226.55,1189.67,0.0182936,301.736,0.000014878
30,226.65,1171.87,0.0180119,301.803,1.48835E-05
30.1,226.75,1154.34,0.0177347,301.869,1.48891E-05
30.2,226.85,1137.08,0.0174619,301.936,1.48946E-05
30.3,226.95,1120.09,0.0171934,302.002,1.49002E-05
30.4,227.05,1103.36,0.0169291,302.069,1.49058E-05
30.5,227.15,1086.88,0.016669,302.135,1.49113E-05
30.6,227.25,1070.66,0.016413,302.202,1.49169E-05
30.7,227.35,1054.69,0.016161,302.268,1.49224E-05
30.8,227.45,1038.97,0.015913,302.335,0.000014928
30.9,227.55,1023.48,0.015669,302.401,1.49335E-05
31,227.65,1008.23,0.0154288,302.468,0.000014939
31.1,227.75,993.218,0.0151923,302.534,1.49446E-05
31.2,227.85,978.434,0.0149596,302.6,1.49501E-05
31.3,227.95,963.876,0.0147306,302.667,1.49557E-05
31.4,228.05,949.541,0.0145051,302.733,1.49612E-05
31.5,228.15,935.425,0.0142832,302.8,1.49668E-05
31.6,228.25,921.526,0.0140648,302.866,1.49723E-05
31.7,228.35,907.838,0.0138499,302.932,1.49778E-05
31.8,228.45,894.36,0.0136383,302.999,1.49834E-05
31.9,228.55,881.088,0.01343,303.065,1.49889E-05
32,228.65,868.019,0.013225,303.131,1.49945E-05
32.1,228.93,855.154,0.0130131,303.317,0.00001501
32.2,229.21,842.495,0.0128048,303.502,1.50254E-05
32.3,229.49,830.038,0.0126001,303.688,1.50409E-05
32.4,229.77,817.781,0.0123989,303.873,1.50564E-05
32.5,230.05,805.719,0.0122011,304.058,1.50719E-05
32.6,230.33,793.849,0.0120068,304.243,1.50873E-05
32.7,230.61,782.168,0.0118157,304.428,1.51028E-05
32.8,230.89,770.674,0.011628,304.612,1.51182E-05
32.9,231.17,759.361,0.0114434,304.797,1.51336E-05
33,231.45,748.228,0.011262,304.982,1.51491E-05
33.1,231.73,737.272,0.0110837,305.166,1.51645E-05
33.2,232.01,726.489,0.0109084,305.35,1.51799E-05
33.3,232.29,715.876,0.0107361,305.535,1.51953E-05
33.4,232.57,705.431,0.0105667,305.719,1.52107E-05
33.5,232.85,695.15,0.0104002,305.903,1.52261E-05
33.6,233.13,685.032,0.0102365,306.086,1.52414E-05
33.7,233.41,675.072,0.0100756,306.27,1.52568E-05
33.8,233.69,665.269,0.00991734,306.454,1.52722E-05
33.9,233.97,655.62,0.00976181,306.637,1.52875E-05
34,234.25,646.122,0.00960889,306.821,1.53029E-05
34.1,234.53,636.773,0.00945855,307.004,1.53182E-05
34.2,234.81,627.57,0.00931073,307.187,1.53335E-05
34.3,235.09,618.511,0.0091654,307.37,1.53489E-05
34.4,235.37,609.593,0.0090225,307.553,1.53642E-05
34.5,235.65,600.814,0.008882,307.736,1.53795E-05
34.6,235.93,592.172,0.00874385,307.919,1.53948E-05
34.7,236.21,583.664,0.008608,308.102,1.54101E-05
34.8,236.49,575.288,0.00847443,308.284,1.54254E-05
34.9,236.77,567.042,0.00834308,308.467,1.54406E-05
35,237.05,558.924,0.00821392,308.649,1.54559E-05
35.1,237.33,550.931,0.00808691,308.831,1.54712E-05
35.2,237.61,543.062,0.00796201,309.013,1.54864E-05
35.3,237.89,535.314,0.00783918,309.195,1.55017E-05
35.4,238.17,527.686,0.00771839,309.377,1.55169E-05
35.5,238.45,520.175,0.00759959,309.559,1.55321E-05
35.6,238.73,512.78,0.00748277,309.741,1.55474E-05
35.7,239.01,505.498,0.00736787,309.922,1.55626E-05
35.8,239.29,498.329,0.00725486,310.104,1.55778E-05
35.9,239.57,491.269,0.00714372,310.285,0.000015593
36,239.85,484.317,0.00703441,310.467,1.56082E-05
36.1,240.13,477.471,0.0069269,310.648,1.56233E-05
36.2,240.41,470.73,0.00682115,310.829,1.56385E-05
36.3,240.69,464.092,0.00671714,311.01,1.56537E-05
36.4,240.97,457.555,0.00661483,311.191,1.56688E-05
36.5,241.25,451.118,0.00651419,311.371,0.000015684
36.6,241.53,444.778,0.0064152,311.552,1.56991E-05
36.7,241.81,438.535,0.00631783,311.733,1.57143E-05
36.8,242.09,432.386,0.00622205,311.913,1.57294E-05
36.9,242.37,426.331,0.00612782,312.093,1.57445E-05
37,242.65,420.367,0.00603513,312.274,1.57596E-05
37.1,242.93,414.494,0.00594394,312.454,1.57748E-05
37.2,243.21,408.709,0.00585424,312.634,1.57898E-05
37.3,243.49,403.011,0.00576599,312.814,1.58049E-05
37.4,243.77,397.399,0.00567917,312.993,0.00001582
37.5,244.05,391.872,0.00559375,313.173,1.58351E-05
37.6,244.33,386.427,0.00550972,313.353,1.58502E-05
37.7,244.61,381.065,0.00542704,313.532,1.58652E-05
37.8,244.89,375.783,0.00534569,313.712,1.58803E-05
37.9,245.17,370.58,0.00526566,313.891,1.58953E-05
38,245.45,365.455,0.00518691,314.07,1.59104E-05
38.1,245.73,360.406,0.00510943,314.249,1.59254E-05
38.2,246.01,355.433,0.00503319,314.428,1.59404E-05
38.3,246.29,350.534,0.00495817,314.607,1.59554E-05
38.4,246.57,345.708,0.00488436,314.786,1.59704E-05
38.5,246.85,340.954,0.00481172,314.965,1.59854E-05
38.6,247.13,336.27,0.00474025,315.143,1.60004E-05
38.7,247.41,331.656,0.00466992,315.322,1.60154E-05
38.8,247.69,327.111,0.00460071,315.5,1.60304E-05
38.9,247.97,322.632,0.0045326,315.678,1.60454E-05
39,248.25,318.22,0.00446557,315.856,1.60603E-05
39.1,248.53,313.874,0.00439961,316.034,1.60753E-05
39.2,248.81,309.591,0.0043347,316.212,1.60902E-05
39.3,249.09,305.372,0.00427081,316.39,1.61052E-05
39.4,249.37,301.214,0.00420794,316.568,1.61201E-05
39.5,249.65,297.118,0.00414606,316.746,0.000016135
39.6,249.93,293.082,0.00408516,316.923,0.00001615
39.7,250.21,289.105,0.00402522,317.101,1.61649E-05
39.8,250.49,285.187,0.00396623,317.278,1.61798E-05
39.9,250.77,281.326,0.00390816,317.455,1.61947E-05
40,251.05,277.522,0.00385101,317.633,1.62096E-05
40.1,251.33,273.773,0.00379476,317.81,1.62245E-05
40.2,251.61,270.079,0.00373939,317.987,1.62393E-05
40.3,251.89,266.438,0.00368488,318.164,1.62542E-05
40.4,252.17,262.851,0.00363123,318.34,1.62691E-05
40.5,252.45,259.316,0.00357842,318.517,1.62839E-05
40.6,252.73,255.832,0.00352644,318.694,1.62988E-05
40.7,253.01,252.399,0.00347527,318.87,1.63136E-05
40.8,253.29,249.016,0.00342489,319.047,1.63284E-05
40.9,253.57,245.682,0.0033753,319.223,1.63433E-05
41,253.85,242.395,0.00332648,319.399,1.63581E-05
41.1,254.13,239.157,0.00327842,319.575,1.63729E-05
41.2,254.41,235.965,0.00323111,319.751,1.63877E-05
41.3,254.69,232.819,0.00318453,319.927,1.64025E-05
41.4,254.97,229.719,0.00313867,320.103,1.64173E-05
41.5,255.25,226.663,0.00309352,320.279,0.000016432
41.6,255.53,223.651,0.00304907,320.454,1.64468E-05
41.7,255.81,220.683,0.00300531,320.63,1.64616E-05
41.8,256.09,217.757,0.00296222,320.805,1.64763E-05
41.9,256.37,214.873,0.00291979,320.981,1.64911E-05
42,256.65,212.03,0.00287802,321.156,1.65058E-05
42.1,256.93,209.228,0.00283689,321.331,1.65206E-05
42.2,257.21,206.466,0.00279639,321.506,1.65353E-05
42.3,257.49,203.743,0.00275651,321.681,0.00001655
42.4,257.77,201.059,0.00271725,321.856,1.65647E-05
42.5,258.05,198.413,0.00267858,322.03,1.65795E-05
42.6,258.33,195.805,0.00264051,322.205,1.65942E-05
42.7,258.61,193.234,0.00260302,322.38,1.66088E-05
42.8,258.89,190.7,0.00256609,322.554,1.66235E-05
42.9,259.17,188.201,0.00252974,322.729,1.66382E-05
43,259.45,185.738,0.00249393,322.903,1.66529E-05
43.1,259.73,183.309,0.00245867,323.077,1.66676E-05
43.2,260.01,180.915,0.00242395,323.251,1.66822E-05
43.3,260.29,178.555,0.00238975,323.425,1.66969E-05
43.4,260.57,176.228,0.00235607,323.599,1.67115E-05
43.5,260.85,173.934,0.00232291,323.773,1.67261E-05
43.6,261.13,171.672,0.00229024,323.947,1.67408E-05
43.7,261.41,169.442,0.00225807,324.12,1.67554E-05
43.8,261.69,167.243,0.00222638,324.294,0.00001677
43.9,261.97,165.075,0.00219517,324.467,1.67846E-05
44,262.25,162.937,0.00216443,324.641,1.67992E-05
44.1,262.53,160.83,0.00213415,324.814,1.68138E-05
